product_id,category,product_name,sku,price
PROD0001,Sports,Reebok Pro Gloves Gold,SPO2485,337.23
PROD0002,Electronics,Apple Pro Smartphone White,ELE3777,101.95
PROD0003,Electronics,Apple Classic Speaker Black,ELE3662,258.51
PROD0004,Sports,Wilson Ultra Helmet Black,SPO5025,114.26
PROD0005,Home & Kitchen,Philips Pro Toaster Green,HOM5481,361.44
PROD0006,Clothing,Zara Classic Hoodie Black,CLO2428,46.87
PROD0007,Clothing,Puma Max Shorts White,CLO5709,386.04
PROD0008,Clothing,Adidas Ultra T-Shirt White,CLO3867,425.83
PROD0009,Sports,Spalding Advanced Yoga Mat Red,SPO1187,74.94
PROD0010,Electronics,LG Advanced Laptop Yellow,ELE1220,276.89
PROD0011,Sports,Wilson Ultra Helmet Gold,SPO7840,191.8
PROD0012,Sports,Decathlon Pro Football Blue,SPO7462,170.06
PROD0013,Toys,Lego Pro Doll Purple,TOY3789,483.58
PROD0014,Electronics,Dell Ultra Laptop Gold,ELE8264,307.14
PROD0015,Toys,Hasbro Max Action Figure White,TOY1651,108.16
PROD0016,Books,Penguin Premium Biography,BOO3201,380.75
PROD0017,Electronics,HP Deluxe Speaker Orange,ELE7715,323.14
PROD0018,Electronics,LG Advanced Tablet Blue,ELE7529,254.34
PROD0019,Electronics,LG Deluxe Speaker Blue,ELE1004,187.59
PROD0020,Clothing,Nike Max Sweater Orange,CLO5297,453.74
PROD0021,Clothing,Adidas Premium Sweater Yellow,CLO6614,452.33
PROD0022,Toys,Fisher-Price Premium Action Figure Red,TOY1862,247.41
PROD0023,Toys,Playmobil Max Lego Set Silver,TOY6919,178.39
PROD0024,Electronics,Sony Eco Smartphone Red,ELE8050,191.14
PROD0025,Toys,Lego Deluxe Plushie Black,TOY4181,240.05
PROD0026,Clothing,Nike Deluxe Jeans Green,CLO4032,446.31
PROD0027,Sports,Spalding Max Helmet Green,SPO2093,196.71
PROD0028,Sports,UnderArmour Pro Basketball Black,SPO8818,210.4
PROD0029,Sports,Wilson Premium Gloves Yellow,SPO5670,30.54
PROD0030,Toys,Fisher-Price Deluxe Doll Red,TOY1644,101.18
PROD0031,Books,Penguin Advanced Novel,BOO1307,214.12
PROD0032,Clothing,Puma Classic Skirt Orange,CLO4794,130.6
PROD0033,Books,Oxford Deluxe Handbook,BOO2226,341.6
PROD0034,Toys,Hasbro Advanced Doll Purple,TOY1817,109.59
PROD0035,Home & Kitchen,Tefal Max Toaster Purple,HOM2382,299.59
